City,Year,STA,TIP,ECO,FDI
南京市,2006-12-31,65,2566,40645,151911
南京市,2007-12-31,51,3519,46306,196253
南京市,2008-12-31,188,4531,51454,237203
南京市,2009-12-31,89,6242,56035,239199
南京市,2010-12-31,141,8637,66132,281601
南京市,2011-12-31,108,11634,75570,356588
南京市,2012-12-31,96,15625,85695,413031
南京市,2013-12-31,132,19856,94967,403262
南京市,2014-12-31,132,22074,101860,329070
南京市,2015-12-31,127,27705,112149,333459
南京市,2016-12-31,97,29092,119484,347937
南京市,2017-12-31,273,32074,129784,367273
南京市,2018-12-31,196,43911,141129,385339
南京市,2019-12-31,172,55019,151630,410058
南京市,2020-12-31,241,76285,158945,451504
南京市,2021-12-31,274,92129,173825,501445
南京市,2022-12-31,302,86880,177391,484950
无锡市,2006-12-31,18,2531,58741,275228
无锡市,2007-12-31,20,4092,66453,277177
无锡市,2008-12-31,103,4649,74876,316651
无锡市,2009-12-31,56,8544,81728,320308
无锡市,2010-12-31,49,23828,91943,330007
无锡市,2011-12-31,43,27260,104015,350480
无锡市,2012-12-31,50,49407,109463,400953
无锡市,2013-12-31,53,41285,113791,333886
无锡市,2014-12-31,41,27498,117808,290438
无锡市,2015-12-31,44,33684,120434,320219
无锡市,2016-12-31,41,31435,128361,341273
无锡市,2017-12-31,109,28812,140306,367545
无锡市,2018-12-31,84,35230,151260,369133
无锡市,2019-12-31,72,38452,158659,361977
无锡市,2020-12-31,98,60720,165449,362107
无锡市,2021-12-31,101,79919,189019,380714
无锡市,2022-12-31,144,68875,197065,382613
徐州市,2006-12-31,1,1100,16784,24433
徐州市,2007-12-31,1,1220,20173,44290
徐州市,2008-12-31,11,1692,24521,58251
徐州市,2009-12-31,15,2864,27772,69781
徐州市,2010-12-31,18,4652,34421,101330
徐州市,2011-12-31,5,6527,41803,146569
徐州市,2012-12-31,8,7798,47225,170021
徐州市,2013-12-31,9,10102,52959,150047
徐州市,2014-12-31,14,8997,57742,165786
徐州市,2015-12-31,14,8600,60900,142788
徐州市,2016-12-31,17,10207,65762,150574
徐州市,2017-12-31,28,10469,70905,165991
徐州市,2018-12-31,21,11116,74486,189848
徐州市,2019-12-31,14,12676,77954,208997
徐州市,2020-12-31,27,27385,80288,220059
徐州市,2021-12-31,49,41823,88419,242250
徐州市,2022-12-31,42,27572,93227,122439
常州市,2006-12-31,19,1375,38339,125145
常州市,2007-12-31,29,1963,44997,183481
常州市,2008-12-31,109,2397,52550,204002
常州市,2009-12-31,79,4576,57815,258199
常州市,2010-12-31,60,8360,68365,267000
常州市,2011-12-31,39,10858,77618,305238
常州市,2012-12-31,25,12477,82810,336073
常州市,2013-12-31,36,18416,90077,353000
常州市,2014-12-31,41,17228,97555,240919
常州市,2015-12-31,66,21690,102368,172065
常州市,2016-12-31,23,17985,110709,250020
常州市,2017-12-31,95,16384,123796,221608
常州市,2018-12-31,52,23415,131448,242189
常州市,2019-12-31,74,24917,140720,262812
常州市,2020-12-31,81,41430,148033,287838
常州市,2021-12-31,103,55763,170057,307147
常州市,2022-12-31,104,53236,178281,283099
苏州市,2006-12-31,16,4104,63324,610461
苏州市,2007-12-31,41,7644,69910,716471
苏州市,2008-12-31,73,16603,79825,813262
苏州市,2009-12-31,85,37458,84894,822653
苏州市,2010-12-31,48,39777,94430,853511
苏州市,2011-12-31,36,70526,100902,901623
苏州市,2012-12-31,57,84950,107544,916490
苏州市,2013-12-31,62,91051,112134,869805
苏州市,2014-12-31,55,52026,115852,811978
苏州市,2015-12-31,83,62190,117961,600023
苏州市,2016-12-31,71,54313,124347,600300
苏州市,2017-12-31,226,53115,135139,450392
苏州市,2018-12-31,150,75878,144456,452498
苏州市,2019-12-31,169,81208,151844,461545
苏州市,2020-12-31,153,139032,158545,554030
苏州市,2021-12-31,235,185160,181020,699218
苏州市,2022-12-31,283,165175,184835,741798
南通市,2006-12-31,4,1385,24704,257497
南通市,2007-12-31,2,3168,30252,311745
南通市,2008-12-31,16,4025,36575,293710
南通市,2009-12-31,23,10294,40671,200481
南通市,2010-12-31,8,19730,48705,206056
南通市,2011-12-31,8,28318,56419,216644
南通市,2012-12-31,12,34206,62161,220542
南通市,2013-12-31,21,24105,69378,228743
南通市,2014-12-31,16,11434,75548,230479
南通市,2015-12-31,16,24760,84913,231559
南通市,2016-12-31,11,25472,93155,238724
南通市,2017-12-31,33,18904,104530,242266
南通市,2018-12-31,36,24453,113794,258140
南通市,2019-12-31,31,19807,121529,266528
南通市,2020-12-31,24,30620,129667,271248
南通市,2021-12-31,30,40861,141607,312093
南通市,2022-12-31,40,38471,146144,295178
连云港市,2006-12-31,0,292,13197,34558
连云港市,2007-12-31,3,301,15706,73787
连云港市,2008-12-31,5,349,18618,93528
连云港市,2009-12-31,5,882,21310,103992
连云港市,2010-12-31,2,1247,27179,110116
连云港市,2011-12-31,1,1627,32312,60986
连云港市,2012-12-31,1,3492,36625,73354
连云港市,2013-12-31,3,4229,41131,86990
连云港市,2014-12-31,2,6110,44419,95438
连云港市,2015-12-31,1,5555,51219,80108
连云港市,2016-12-31,1,4531,56041,55044
连云港市,2017-12-31,4,6289,61173,70902
连云港市,2018-12-31,16,5776,63926,60345
连云港市,2019-12-31,7,5051,68151,61402
连云港市,2020-12-31,7,8050,71303,67645
连云港市,2021-12-31,15,9593,82324,82430
连云港市,2022-12-31,10,8299,86950,78037
淮安市,2006-12-31,0,326,13706,11569
淮安市,2007-12-31,0,408,16677,28637
淮安市,2008-12-31,1,462,20598,45465
淮安市,2009-12-31,1,948,23405,61418
淮安市,2010-12-31,1,1198,29034,105153
淮安市,2011-12-31,0,1834,35534,161996
淮安市,2012-12-31,2,2288,40610,212094
淮安市,2013-12-31,1,4932,47087,130219
淮安市,2014-12-31,1,6578,52435,119867
淮安市,2015-12-31,2,9352,58558,121386
淮安市,2016-12-31,2,7965,65993,116135
淮安市,2017-12-31,5,7305,71525,117824
淮安市,2018-12-31,3,8653,77596,118213
淮安市,2019-12-31,7,7569,82699,104854
淮安市,2020-12-31,2,11660,87029,105872
淮安市,2021-12-31,4,14537,98751,120100
淮安市,2022-12-31,3,11631,103510,101846
盐城市,2006-12-31,4,446,15981,32522
盐城市,2007-12-31,2,841,18945,81084
盐城市,2008-12-31,3,1217,22446,94394
盐城市,2009-12-31,4,1864,25685,104376
盐城市,2010-12-31,1,2400,31815,130355
盐城市,2011-12-31,3,3147,39095,168780
盐城市,2012-12-31,0,3946,45384,211103
盐城市,2013-12-31,1,5082,52075,154983
盐城市,2014-12-31,4,4425,58002,104732
盐城市,2015-12-31,4,7527,62721,79519
盐城市,2016-12-31,2,8154,68227,70669
盐城市,2017-12-31,5,9949,74707,78862
盐城市,2018-12-31,5,15776,80505,91313
盐城市,2019-12-31,6,15626,84408,91314
盐城市,2020-12-31,9,21465,88209,101218
盐城市,2021-12-31,13,27144,98393,126019
盐城市,2022-12-31,5,24527,105038,118263
扬州市,2006-12-31,7,1076,25321,76099
扬州市,2007-12-31,7,1423,30730,87515
扬州市,2008-12-31,15,1923,37300,172003
扬州市,2009-12-31,11,2458,41910,226563
扬州市,2010-12-31,7,3481,50401,257155
扬州市,2011-12-31,8,5090,59725,210264
扬州市,2012-12-31,16,6800,66618,213808
扬州市,2013-12-31,11,11544,75354,195880
扬州市,2014-12-31,13,10928,83821,138776
扬州市,2015-12-31,9,14144,91501,84841
扬州市,2016-12-31,15,13171,101150,120392
扬州市,2017-12-31,24,14182,112862,120813
扬州市,2018-12-31,30,22654,121222,122044
扬州市,2019-12-31,15,18742,127733,138756
扬州市,2020-12-31,22,28591,132016,147049
扬州市,2021-12-31,27,29058,145340,173007
扬州市,2022-12-31,41,23408,154006,153457
镇江市,2006-12-31,7,889,35377,73044
镇江市,2007-12-31,7,1733,42215,106354
镇江市,2008-12-31,27,2444,49698,120175
镇江市,2009-12-31,24,4085,55428,144081
镇江市,2010-12-31,8,5867,65306,161462
镇江市,2011-12-31,11,7170,75556,180756
镇江市,2012-12-31,8,8070,85651,221410
镇江市,2013-12-31,5,9434,95653,309678
镇江市,2014-12-31,2,12064,104352,129508
镇江市,2015-12-31,8,14099,97307,130516
镇江市,2016-12-31,5,14407,108079,135068
镇江市,2017-12-31,17,14752,116671,135267
镇江市,2018-12-31,10,15321,120569,86774
镇江市,2019-12-31,10,12572,127418,65957
镇江市,2020-12-31,4,19673,130488,78764
镇江市,2021-12-31,17,22705,148204,80948
镇江市,2022-12-31,11,20163,155357,56752
泰州市,2006-12-31,2,612,22432,65815
泰州市,2007-12-31,1,1254,26781,75078
泰州市,2008-12-31,3,1446,31709,104988
泰州市,2009-12-31,5,2705,36117,105626
泰州市,2010-12-31,1,4103,44630,136254
泰州市,2011-12-31,1,5196,53233,141726
泰州市,2012-12-31,0,6361,59649,145018
泰州市,2013-12-31,9,9266,67905,132259
泰州市,2014-12-31,6,8853,74908,93945
泰州市,2015-12-31,8,12676,76647,106550
泰州市,2016-12-31,5,13159,85444,134448
泰州市,2017-12-31,5,9781,97414,170242
泰州市,2018-12-31,12,15379,105145,150731
泰州市,2019-12-31,6,14838,112831,146864
泰州市,2020-12-31,13,20261,117210,149449
泰州市,2021-12-31,28,25143,133543,182753
泰州市,2022-12-31,31,19856,141039,113889
宿迁市,2006-12-31,0,89,9790,4858
宿迁市,2007-12-31,0,103,12113,7334
宿迁市,2008-12-31,0,204,15140,9458
宿迁市,2009-12-31,1,246,17520,11163
宿迁市,2010-12-31,0,441,22615,18071
宿迁市,2011-12-31,0,763,27979,18971
宿迁市,2012-12-31,0,1746,32047,45194
宿迁市,2013-12-31,2,4408,36522,50895
宿迁市,2014-12-31,0,3736,39909,66480
宿迁市,2015-12-31,1,4973,45638,29839
宿迁市,2016-12-31,1,5640,50210,44988
宿迁市,2017-12-31,2,4364,54965,36354
宿迁市,2018-12-31,2,8443,57698,37684
宿迁市,2019-12-31,0,7857,62065,44556
宿迁市,2020-12-31,2,13971,65663,55578
宿迁市,2021-12-31,3,17079,77479,85231
宿迁市,2022-12-31,0,12013,82567,117602
