index,totalseconds,totalvalue,Q1,Q2,Q3,Q4,Q5,Q6,Q7_Row1,Q7_Row2,Q7_Row3,Q8_Row1,Q8_Row2,Q8_Row3,Q9_Row1,Q9_Row2,Q10_Row1,Q10_Row2,Q11_Row1,Q11_Row2,Q12_Row1,Q12_Row2,Q13_Row1,Q13_Row2,Q14_Row1,Q14_Row2,Q15,Q16,Q17,Q18,Q19_Row1,Q19_Row2,Q19_Row3,Q20_Choice1,Q20_Choice2,Q20_Choice3,Q20_Choice4,Q20_Choice5,Q20_Choice6,Q20_Choice7,Q21,Q22,Q23,Q24,Q25,Q26,Q27_Choice1,Q27_Choice2,Q27_Choice3,Q27_Choice4,Q27_Choice5,Q28
1,243,103,4,4,5,3,5,4,5,5,5,4,4,5,4,3,5,4,5,4,3,3,3,4,4,5,5,1,2,4,4,4,4,0,0,1,0,0,0,0,5,2,5,4,4,3,1,1,1,0,0,(空)
2,244,103,2,1,4,4,5,2,4,5,5,5,5,1,5,5,4,1,4,5,4,5,5,2,5,5,4,5,4,5,4,4,5,1,0,1,1,0,0,0,4,3,5,5,5,5,1,1,1,0,0,(空)
3,261,67,9,3,4,1,2,4,2,4,2,2,3,2,3,2,1,2,3,2,3,5,4,2,3,2,4,1,3,1,4,4,4,0,0,0,0,1,0,0,5,1,2,1,3,2,1,0,1,1,0,(空)
4,275,87,6,1,2,3,5,2,4,3,4,3,5,3,2,3,4,5,4,4,3,3,4,3,3,3,5,4,5,5,4,4,4,1,0,0,0,1,0,0,4,5,3,4,3,2,0,1,1,1,0,(空)
5,273,62,2,4,2,1,1,8,5,1,5,5,1,1,1,5,5,1,1,1,2,2,1,2,1,3,5,2,3,4,4,3,5,0,0,0,0,1,0,0,4,1,5,1,1,5,0,1,1,1,0,(空)
6,231,63,3,3,3,3,4,3,3,3,2,2,3,2,2,2,2,2,3,3,2,3,3,5,2,3,3,4,3,4,3,1,3,0,0,1,0,0,0,0,4,2,2,3,2,2,0,1,1,1,0,(空)
7,281,97,8,4,3,3,4,1,4,4,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,4,4,2,2,4,3,3,3,0,0,0,0,1,0,0,3,3,5,3,4,4,0,1,1,1,0,(空)
8,238,99,7,1,2,2,3,2,4,5,4,5,4,4,4,4,4,5,4,5,4,4,4,4,5,3,1,5,3,3,4,4,5,0,0,1,1,1,0,0,5,4,4,4,4,3,0,1,1,1,0,(空)
9,302,102,6,1,4,4,4,1,5,5,5,5,5,5,5,5,4,5,5,1,5,4,5,5,5,5,4,4,4,4,4,5,3,0,0,1,1,0,0,0,4,3,4,1,5,1,0,1,1,1,0,(空)
10,268,68,2,1,2,1,3,2,4,3,3,3,3,4,4,1,2,3,2,2,3,2,4,2,2,3,5,3,4,5,2,5,3,0,0,1,1,1,0,0,4,3,3,3,4,3,1,0,1,1,0,(空)
11,248,96,3,1,1,1,3,1,4,4,3,4,5,4,4,4,4,4,4,3,5,5,4,4,4,4,3,4,2,3,3,3,3,0,0,0,0,1,0,0,5,4,4,3,3,4,0,1,1,1,0,(空)
12,244,91,7,4,3,2,5,4,4,5,4,4,4,3,4,4,5,4,4,4,3,4,4,3,2,4,3,3,3,2,5,4,1,0,0,0,0,1,0,0,3,5,5,4,4,4,0,1,1,1,0,(空)
13,275,99,4,1,4,3,5,4,4,4,4,4,4,4,3,4,4,5,5,4,3,4,4,3,3,5,5,4,5,5,4,4,4,0,0,1,0,0,0,0,3,4,4,4,3,5,0,1,1,1,0,(空)
14,307,88,4,3,3,4,4,7,4,5,4,4,3,5,3,4,4,5,4,4,3,3,5,3,4,5,4,1,3,2,5,5,5,0,1,1,0,0,0,0,3,2,4,4,4,4,1,0,1,1,0,(空)
15,255,105,1,1,2,2,3,2,4,2,5,2,5,3,5,4,5,5,5,5,5,5,1,5,5,5,3,3,2,3,3,3,4,0,0,0,0,1,0,0,4,3,5,5,5,4,1,0,0,1,1,(空)
16,334,56,5,2,3,4,4,6,3,2,1,3,5,1,2,4,2,4,5,1,2,2,2,2,3,1,1,1,4,2,5,5,5,0,0,0,0,1,0,0,3,2,5,2,3,1,1,1,1,0,0,(空)
